name,value,year,lastValue,rank
John Carradine,14,1979,0,3
Tom Felleghy,14,1979,0,4
Michael Caine,13,1979,3,5
Christopher Lee,22,1980,0,1
Peter Cushing,21,1980,1,2
Donald Pleasence,15,1980,0,3
Fulvio Mingozzi,14,1980,0,4
Martin Balsam,14,1980,0,5
Peter Cushing,20,1981,1,1
Christopher Lee,18,1981,0,2
Donald Pleasence,16,1981,2,3
Tom Felleghy,15,1981,0,4
Fulvio Mingozzi,14,1981,3,5
Peter Cushing,17,1982,0,1
Christopher Lee,16,1982,1,2
Donald Pleasence,16,1982,2,3
John Carradine,14,1982,0,4
Tom Felleghy,13,1982,3,5
Donald Pleasence,15,1983,2,1
Fulvio Mingozzi,13,1983,0,2
Christopher Lee,13,1983,1,3
Tomás Milián,13,1983,0,4
Peter Cushing,12,1983,0,5
Donald Pleasence,15,1984,0,1
Joe Spinell,13,1984,0,2
Fulvio Mingozzi,13,1984,1,3
Tomás Milián,12,1984,3,4
Charles Bronson,11,1984,0,5
Fulvio Mingozzi,13,1985,2,1
Donald Pleasence,12,1985,0,2
Joe Spinell,12,1985,1,3
Tomás Milián,11,1985,3,4
M. Emmet Walsh,11,1985,0,5
Donald Pleasence,14,1986,1,1
Fulvio Mingozzi,13,1986,0,2
Chuck Norris,13,1986,0,3
M. Emmet Walsh,11,1986,4,4
Henry Silva,10,1986,0,5
Chuck Norris,14,1987,2,1
Donald Pleasence,13,1987,0,2
Fulvio Mingozzi,12,1987,1,3
Klaus Kinski,10,1987,0,4
M. Emmet Walsh,10,1987,3,5
Donald Pleasence,15,1988,1,1
Chuck Norris,13,1988,0,2
Michele Soavi,12,1988,0,3
M. Emmet Walsh,10,1988,4,4
Lucio Fulci,10,1988,0,5
Donald Pleasence,15,1989,0,1
Chuck Norris,13,1989,1,2
Michele Soavi,12,1989,2,3
Henry Silva,10,1989,0,4
Charles Bronson,10,1989,0,5
Donald Pleasence,16,1990,0,1
Michele Soavi,14,1990,2,2
Chuck Norris,12,1990,1,3
Charles Bronson,10,1990,4,4
Raymond Burr,10,1990,0,5
Donald Pleasence,15,1991,0,1
Bill Paxton,13,1991,0,2
Chuck Norris,11,1991,2,3
Michele Soavi,11,1991,1,4
Brad Dourif,11,1991,0,5
Donald Pleasence,14,1992,0,1
Bill Paxton,13,1992,1,2
Brad Dourif,13,1992,4,3
Michele Soavi,11,1992,3,4
Chuck Norris,11,1992,2,5
Bill Paxton,14,1993,1,1
Donald Pleasence,14,1993,0,2
Lance Henriksen,13,1993,0,3
Raymond Burr,13,1993,0,4
Barbara Hale,12,1993,0,5
Raymond Burr,14,1994,3,1
Lance Henriksen,14,1994,2,2
